CustomerID,Age,Income,LoanAmount,LoanTenure,CreditScore,ExistingLoansCount,MonthlyEMI,TotalAssets,TotalLiabilities,NetMonthlyIncome,EmploymentType,MaritalStatus,EducationLevel,PropertyOwnership,LoanPurpose,RiskFlag
CUST00000,25,1004643,3906031,7,890,1,46500,4601552,1377315,83720,Business Owner,Married,High School,Mortgaged,Medical,0
CUST00001,55,2091786,3708262,26,756,1,11885,2668454,1034902,174315,Self-Employed,Married,Post-Graduate,Mortgaged,Medical,0
CUST00002,50,173303,716033,14,690,3,4262,1366886,6969294,14441,Salaried,Married,Post-Graduate,Rented,Education,1
CUST00003,40,2255977,4138971,21,841,1,16424,547213,2201220,187998,Salaried,Married,Post-Graduate,Rented,Business,0
CUST00004,40,1425643,2703536,12,609,5,18774,184958,6127139,118803,Self-Employed,Married,High School,Rented,Education,1
CUST00005,58,479585,1649262,6,732,2,22906,4866764,1109235,39965,Salaried,Married,Graduate,Mortgaged,Medical,0
CUST00006,25,860121,2595403,11,470,5,19662,989427,2244311,71676,Salaried,Single,Graduate,Rented,Car,1
CUST00007,51,1451984,4836568,3,877,4,134349,9597390,2268166,120998,Salaried,Married,High School,Owned,Car,0
CUST00008,30,891876,4294982,23,674,2,15561,2522996,2248833,74323,Self-Employed,Single,Graduate,Rented,Personal,1
CUST00009,26,405152,4176807,6,769,1,58011,6559940,5397892,33762,Business Owner,Single,Graduate,Rented,Personal,1
CUST00010,44,1715073,2340856,11,576,4,17733,6767533,7315111,142922,Self-Employed,Married,Post-Graduate,Owned,Medical,1
CUST00011,63,1729764,3931482,29,820,1,11297,5005514,7282615,144147,Salaried,Married,Graduate,Rented,Car,0
CUST00012,53,429354,1956193,18,344,1,9056,8847764,5932402,35779,Salaried,Divorced,Post-Graduate,Owned,Business,1
CUST00013,54,810899,3446519,14,368,5,20514,1195851,1620179,67574,Salaried,Single,Graduate,Mortgaged,Car,1
CUST00014,52,723102,3215838,16,604,2,16749,2416913,7684640,60258,Salaried,Single,Post-Graduate,Owned,Personal,1
CUST00015,55,1699643,1286503,23,739,0,4661,2599119,4336632,141636,Self-Employed,Widowed,Graduate,Owned,Business,0
CUST00016,44,1866194,1368993,8,785,2,14260,1440602,4367735,155516,Self-Employed,Single,Graduate,Owned,Personal,0
CUST00017,27,1858437,352609,19,564,2,1546,3018262,5611128,154869,Salaried,Single,Graduate,Owned,Medical,0
CUST00018,58,2356088,741853,26,689,5,2377,3195603,6152763,196340,Salaried,Single,Post-Graduate,Owned,Business,0
CUST00019,41,1956321,2196412,17,631,4,10766,7671555,7623379,163026,Salaried,Married,Graduate,Owned,Business,0
CUST00020,43,903596,2415492,13,876,1,15483,3086102,4659036,75299,Business Owner,Divorced,Graduate,Owned,Education,0
CUST00021,37,403191,867347,5,692,0,14455,8779436,4880483,33599,Self-Employed,Married,Graduate,Owned,Education,0
CUST00022,29,1594410,2113602,8,550,3,22016,7749473,5964222,132867,Salaried,Married,Post-Graduate,Rented,Car,0
CUST00023,61,2302627,3040678,28,881,0,9049,9026254,2040855,191885,Business Owner,Single,High School,Rented,Personal,0
CUST00024,55,2441615,1201221,16,364,1,6256,1141723,2461702,203467,Salaried,Married,Graduate,Rented,Business,0
CUST00025,49,691002,1724272,9,890,0,15965,9847229,5003825,57583,Salaried,Married,Graduate,Rented,Education,0
CUST00026,39,705670,1869183,13,392,0,11981,6178232,513026,58805,Unemployed,Single,Post-Graduate,Owned,Education,0
CUST00027,57,237919,2550016,17,472,5,12500,9825430,2563929,19826,Salaried,Single,Graduate,Owned,Home,1
CUST00028,45,481966,1863642,16,792,0,9706,3612938,5743966,40163,Salaried,Single,Graduate,Owned,Education,0
CUST00029,41,1453903,3697875,21,740,0,14674,9534691,7809027,121158,Self-Employed,Single,Doctorate,Mortgaged,Car,0
CUST00030,41,1434987,1671103,8,882,5,17407,5927195,4155970,119582,Salaried,Married,Graduate,Mortgaged,Business,0
CUST00031,31,1021667,2197788,19,749,1,9639,811039,3197409,85138,Self-Employed,Married,High School,Mortgaged,Personal,0
CUST00032,25,878395,1928347,13,682,4,12361,4160232,3523011,73199,Salaried,Single,Graduate,Rented,Home,1
CUST00033,45,2100005,955433,28,507,0,2843,1464156,5483421,175000,Salaried,Married,High School,Rented,Home,0
CUST00034,60,1231079,3444429,5,302,0,57407,9418669,4355800,102589,Salaried,Married,High School,Rented,Business,0
CUST00035,24,2049390,1215458,5,374,0,20257,3114218,185820,170782,Salaried,Married,Graduate,Mortgaged,Business,0
CUST00036,58,2413547,1519538,14,478,4,9044,2301375,4313919,201128,Salaried,Married,Post-Graduate,Mortgaged,Medical,1
CUST00037,57,895276,3974122,15,324,3,22078,5573692,3200491,74606,Salaried,Married,Post-Graduate,Mortgaged,Home,1
CUST00038,33,626435,4746846,21,604,2,18836,4309098,5606413,52202,Business Owner,Married,High School,Mortgaged,Home,1
CUST00039,49,2389313,3370673,12,766,1,23407,1060081,7000860,199109,Salaried,Single,Graduate,Rented,Car,1
CUST00040,29,1641853,4585922,27,877,0,14154,8183291,7699587,136821,Salaried,Married,High School,Mortgaged,Medical,0
CUST00041,54,833656,4278243,14,593,3,25465,8473389,4881819,69471,Salaried,Single,Doctorate,Mortgaged,Medical,0
CUST00042,52,1611370,2430506,4,825,1,50635,7455325,2900497,134280,Salaried,Married,High School,Rented,Business,0
CUST00043,37,1360384,3862936,4,891,3,80477,6205886,3551543,113365,Salaried,Married,Graduate,Mortgaged,Home,0
CUST00044,24,2278000,1675387,29,815,4,4814,4085321,1411692,189833,Self-Employed,Single,Graduate,Owned,Home,0
CUST00045,63,751517,2329460,4,578,5,48530,5469407,7487499,62626,Salaried,Married,Graduate,Mortgaged,Business,1
CUST00046,41,2479749,2700402,28,495,2,8036,5257864,6778492,206645,Business Owner,Single,Graduate,Mortgaged,Business,0
CUST00047,60,2349702,4804440,9,886,0,44485,1736582,6831875,195808,Unemployed,Single,Post-Graduate,Owned,Medical,0
CUST00048,51,574649,4250374,3,445,1,118065,909951,2624987,47887,Salaried,Single,Graduate,Rented,Home,1
CUST00049,55,536828,2471802,9,546,5,22887,2607229,2577725,44735,Salaried,Married,Post-Graduate,Owned,Home,1
CUST00050,54,1402918,3280307,18,344,3,15186,4597901,6852906,116909,Salaried,Single,Graduate,Mortgaged,Home,1
CUST00051,30,255539,1051664,13,776,3,6741,1687089,4356387,21294,Self-Employed,Married,Post-Graduate,Mortgaged,Medical,1
CUST00052,37,852175,4031739,23,689,2,14607,1156008,5637249,71014,Salaried,Single,Post-Graduate,Rented,Business,1
CUST00053,42,1172478,2787537,18,350,0,12905,8534138,3918594,97706,Business Owner,Married,Doctorate,Mortgaged,Personal,0
CUST00054,43,2428027,2686975,12,433,5,18659,3812467,3542161,202335,Self-Employed,Divorced,Graduate,Owned,Car,0
CUST00055,23,2482082,3843103,19,633,4,16855,5883855,6503848,206840,Business Owner,Married,Graduate,Owned,Medical,0
CUST00056,45,506118,3182942,29,624,5,9146,5287879,2672890,42176,Salaried,Married,Graduate,Rented,Home,1
CUST00057,28,2245441,408712,12,781,5,2838,7377781,6473161,187120,Unemployed,Divorced,Graduate,Owned,Medical,0
CUST00058,53,363682,1476370,5,459,1,24606,7424140,1953640,30306,Salaried,Widowed,Graduate,Rented,Business,0
CUST00059,51,1909228,924758,12,854,1,6421,3030725,3222620,159102,Salaried,Married,Doctorate,Owned,Medical,0
CUST00060,61,2137260,3687721,25,566,1,12292,8494283,7301374,178105,Salaried,Divorced,Doctorate,Rented,Business,0
CUST00061,54,2243362,223978,7,793,5,2666,3775401,7635625,186946,Unemployed,Divorced,Graduate,Rented,Personal,0
CUST00062,37,675032,1051902,28,443,3,3130,8368542,7390995,56252,Self-Employed,Married,Graduate,Mortgaged,Education,1
CUST00063,63,2249599,3007352,18,322,2,13922,4108064,2528352,187466,Business Owner,Married,Post-Graduate,Owned,Car,1
CUST00064,39,422555,3489250,18,333,5,16153,1198841,6746583,35212,Salaried,Single,Doctorate,Mortgaged,Business,1
CUST00065,36,1369317,2541359,10,523,3,21177,7624148,7488698,114109,Unemployed,Single,Graduate,Rented,Medical,0
CUST00066,60,1253431,4310559,27,871,5,13304,398597,7825635,104452,Salaried,Married,Graduate,Rented,Car,1
CUST00067,37,892433,4598753,2,329,5,191614,7746294,167227,74369,Salaried,Married,Post-Graduate,Rented,Business,1
CUST00068,25,201968,703909,9,521,0,6517,527310,5959932,16830,Unemployed,Married,Graduate,Rented,Home,1
CUST00069,42,1964229,4764929,13,365,2,30544,2147453,7973965,163685,Salaried,Married,Graduate,Owned,Personal,1
CUST00070,56,938621,3091179,14,858,4,18399,6073310,6117337,78218,Salaried,Married,Doctorate,Rented,Car,0
CUST00071,30,1704903,3199284,14,705,4,19043,9421234,1865395,142075,Self-Employed,Married,Doctorate,Owned,Personal,0
CUST00072,41,1114016,520723,5,757,0,8678,4143929,6100720,92834,Salaried,Single,Post-Graduate,Rented,Education,0
CUST00073,27,1028095,3128265,7,727,1,37241,1294487,841953,85674,Salaried,Single,Post-Graduate,Rented,Education,0
CUST00074,51,2232795,3642292,3,694,3,101174,2405799,3844861,186066,Salaried,Married,Graduate,Rented,Medical,1
CUST00075,42,371996,2924916,17,764,4,14337,8971608,5009820,30999,Salaried,Married,Graduate,Mortgaged,Medical,1
CUST00076,36,1881050,468241,11,304,0,3547,7294684,3651617,156754,Business Owner,Widowed,Graduate,Owned,Education,0
CUST00077,31,1904955,2639975,17,819,3,12941,1093916,5598668,158746,Self-Employed,Divorced,Graduate,Mortgaged,Business,1
CUST00078,46,1042979,4682902,18,743,1,21680,3910482,1921810,86914,Salaried,Divorced,Graduate,Mortgaged,Education,0
CUST00079,50,766782,3630911,21,743,1,14408,2718944,4849764,63898,Salaried,Single,Graduate,Mortgaged,Home,0
CUST00080,62,162471,730169,16,536,3,3802,1860536,5158553,13539,Salaried,Married,Graduate,Mortgaged,Home,1
CUST00081,40,2351510,4801695,19,780,2,21060,8480137,5070368,195959,Self-Employed,Single,Post-Graduate,Owned,Car,0
CUST00082,28,2377168,4796457,18,529,3,22205,6215345,2314561,198097,Unemployed,Married,Graduate,Rented,Medical,1
CUST00083,57,716280,888507,19,329,1,3896,1876971,2443053,59690,Unemployed,Divorced,Graduate,Owned,Personal,0
CUST00084,49,224990,4014376,18,844,4,18585,6541881,2062467,18749,Salaried,Single,High School,Mortgaged,Education,1
CUST00085,52,438481,2063249,10,440,0,17193,4194322,3694216,36540,Salaried,Married,High School,Rented,Education,1
CUST00086,26,308960,2988725,8,361,5,31132,708619,4687690,25746,Salaried,Single,Post-Graduate,Owned,Business,1
CUST00087,35,2103114,2253672,23,673,0,8165,4553607,2900288,175259,Self-Employed,Single,Graduate,Mortgaged,Personal,0
CUST00088,55,2245991,3923989,10,440,4,32699,1933795,3279859,187165,Salaried,Single,Graduate,Owned,Home,1
CUST00089,57,510218,4983466,16,814,2,25955,2528063,2291291,42518,Self-Employed,Single,Post-Graduate,Rented,Home,1
CUST00090,40,1904837,3985818,6,566,2,55358,8802079,1750852,158736,Self-Employed,Divorced,Graduate,Rented,Education,0
CUST00091,56,571280,4660288,13,302,0,29873,7131427,5259505,47606,Salaried,Married,High School,Owned,Education,1
CUST00092,58,1012941,4732833,16,871,4,24650,1427504,6528448,84411,Salaried,Married,Graduate,Rented,Business,1
CUST00093,38,1558549,496021,19,608,0,2175,8528213,2325635,129879,Salaried,Married,High School,Mortgaged,Personal,0
CUST00094,60,1841827,1304247,16,457,3,6792,5785642,6884559,153485,Salaried,Single,Post-Graduate,Owned,Medical,0
CUST00095,34,2205220,3623190,11,706,4,27448,8758293,4567825,183768,Salaried,Single,Graduate,Rented,Personal,1
CUST00096,32,255244,2970875,28,618,5,8841,7496046,1341596,21270,Self-Employed,Married,High School,Owned,Education,1
CUST00097,51,611621,298223,15,317,4,1656,3459289,2927992,50968,Salaried,Single,High School,Rented,Personal,1
CUST00098,49,809195,520493,24,755,1,1807,5395197,60056,67432,Salaried,Divorced,Graduate,Owned,Personal,0
CUST00099,28,879260,2626709,22,540,4,9949,5355418,313356,73271,Self-Employed,Single,High School,Mortgaged,Medical,0
CUST00100,57,2495365,3100020,17,719,4,15196,7227421,2689039,207947,Self-Employed,Married,Post-Graduate,Mortgaged,Car,0
CUST00101,30,1976901,880210,26,837,1,2821,2559223,3635699,164741,Salaried,Married,High School,Owned,Personal,0
CUST00102,56,902980,897891,4,666,0,18706,3397574,6380086,75248,Business Owner,Single,Graduate,Rented,Car,0
CUST00103,22,2433792,690234,27,702,5,2130,2523485,1074419,202816,Unemployed,Single,Graduate,Rented,Medical,0
CUST00104,56,1323371,2846505,25,452,0,9488,3031814,6713390,110280,Self-Employed,Widowed,Graduate,Rented,Medical,0
CUST00105,55,1326741,88875,15,442,3,493,1696415,1876182,110561,Self-Employed,Single,High School,Rented,Personal,1
CUST00106,55,1169192,2883531,22,549,1,10922,461809,1106632,97432,Salaried,Married,Post-Graduate,Owned,Business,0
