CustomerID,Age,Income,LoanAmount,LoanTenure,CreditScore,ExistingLoansCount,MonthlyEMI,TotalAssets,TotalLiabilities,NetMonthlyIncome,EmploymentType,MaritalStatus,EducationLevel,PropertyOwnership,LoanPurpose,RiskFlag
CUST00000,25,614989,1726559,29,721,0,4961,5669425,730099,51249,Salaried,Single,High School,Rented,Education,0
CUST00001,55,229612,1129838,16,482,3,5884,4985447,7251642,19134,Salaried,Single,Graduate,Rented,Business,1
CUST00002,50,1624179,2625675,19,530,2,11516,8722371,6545110,135348,Salaried,Married,Graduate,Rented,Home,0
CUST00003,40,1755085,3331492,22,394,0,12619,1798570,3478273,146257,Salaried,Married,Graduate,Rented,Medical,0
CUST00004,40,1965646,1344044,11,518,3,10182,9027041,1695734,163803,Salaried,Single,High School,Mortgaged,Business,0
CUST00005,58,2383666,3845964,28,537,4,11446,3195060,3362164,198638,Self-Employed,Single,Graduate,Mortgaged,Personal,0
CUST00006,25,1318798,3212438,20,434,5,13385,2832091,4716634,109899,Self-Employed,Married,Graduate,Mortgaged,Personal,1
CUST00007,51,2098503,874848,25,887,3,2916,9540454,5040710,174875,Business Owner,Divorced,Post-Graduate,Rented,Education,0
CUST00008,30,1833284,4696309,22,467,1,17789,6494508,2778477,152773,Business Owner,Married,Graduate,Rented,Education,0
CUST00009,26,801415,267098,19,408,5,1171,4376379,812704,66784,Salaried,Married,High School,Rented,Home,0
CUST00010,44,2136033,3285954,1,628,1,273829,3368392,4878238,178002,Salaried,Single,Doctorate,Rented,Home,0
CUST00011,63,275313,2225957,17,491,4,10911,4471832,5641130,22942,Business Owner,Married,High School,Owned,Medical,1
CUST00012,53,1557391,3286355,4,572,5,68465,7937145,2139342,129782,Salaried,Married,Doctorate,Mortgaged,Personal,1
CUST00013,54,2359825,3881419,18,735,0,17969,1615389,5116129,196652,Salaried,Married,Post-Graduate,Mortgaged,Car,0
CUST00014,52,1698563,3451642,21,346,5,13696,1826315,4551709,141546,Salaried,Married,Graduate,Mortgaged,Education,1
CUST00015,55,2352097,3271360,16,605,1,17038,3115087,4010849,196008,Self-Employed,Single,Graduate,Owned,Personal,0
CUST00016,44,281972,4212383,9,313,2,39003,4873861,65586,23497,Salaried,Single,Post-Graduate,Owned,Car,1
CUST00017,27,1401176,3524314,2,326,1,146846,8165392,2458407,116764,Salaried,Married,Post-Graduate,Owned,Car,0
CUST00018,58,1984438,4078024,20,355,0,16991,2186496,2995635,165369,Salaried,Single,Post-Graduate,Mortgaged,Business,0
CUST00019,41,1659445,2044054,21,397,4,8111,7883369,6670798,138287,Self-Employed,Married,Post-Graduate,Rented,Education,1
CUST00020,43,2219260,1053974,14,509,2,6273,9085950,6611115,184938,Salaried,Married,Graduate,Mortgaged,Education,0
CUST00021,37,1237110,1212980,21,861,3,4813,4411438,6990006,103092,Self-Employed,Single,High School,Mortgaged,Home,0
CUST00022,29,1754117,3079930,23,843,2,11159,9616554,3704052,146176,Salaried,Married,Doctorate,Owned,Home,0
CUST00023,61,1136448,2682305,15,361,4,14901,8947157,2615374,94704,Salaried,Married,High School,Rented,Personal,1
CUST00024,55,2199481,431904,2,894,5,17996,7992265,3994088,183290,Salaried,Divorced,Graduate,Mortgaged,Car,0
CUST00025,49,430703,1061610,26,681,3,3402,3864563,6333543,35891,Salaried,Single,Graduate,Owned,Car,0
CUST00026,39,747181,4839379,14,632,0,28805,3076221,4972614,62265,Salaried,Single,Post-Graduate,Rented,Car,0
CUST00027,57,377369,3644832,20,775,1,15186,8656862,4809872,31447,Business Owner,Single,Post-Graduate,Rented,Medical,1
CUST00028,45,1799935,3787143,27,590,2,11688,4471167,3473676,149994,Salaried,Single,Graduate,Rented,Business,0
CUST00029,41,696920,1024983,11,459,0,7765,412498,5571808,58076,Unemployed,Married,High School,Mortgaged,Car,1
CUST00030,41,895273,367898,19,617,1,1613,7200244,6936613,74606,Salaried,Married,Graduate,Owned,Car,0
CUST00031,31,2116105,1491753,1,735,1,124312,3537579,5343741,176342,Salaried,Single,High School,Rented,Medical,0
CUST00032,25,996429,4291547,26,709,5,13754,9363307,3226597,83035,Self-Employed,Widowed,Doctorate,Mortgaged,Personal,1
CUST00033,45,492705,2557396,2,401,2,106558,8565177,6719618,41058,Business Owner,Single,High School,Rented,Medical,1
CUST00034,60,199280,3933892,16,862,5,20489,1132979,7540419,16606,Salaried,Married,Doctorate,Rented,Medical,1
CUST00035,24,682741,2459214,11,470,3,18630,9022964,6372597,56895,Salaried,Divorced,High School,Mortgaged,Medical,1
CUST00036,58,2299510,2476418,2,791,3,103184,9502016,7015504,191625,Self-Employed,Married,Post-Graduate,Owned,Home,0
CUST00037,57,1439243,3024204,14,487,5,18001,7588598,2123980,119936,Salaried,Single,Graduate,Owned,Personal,1
CUST00038,33,2487857,4796697,28,338,4,14275,2826051,3368702,207321,Self-Employed,Widowed,Post-Graduate,Owned,Education,1
CUST00039,49,655558,2215350,5,897,1,36922,6731671,1994751,54629,Business Owner,Married,Graduate,Owned,Business,0
CUST00040,29,975975,2999016,9,653,1,27768,8693361,2926406,81331,Salaried,Single,Post-Graduate,Rented,Personal,0
CUST00041,54,533535,4601392,6,428,3,63908,8173498,5867944,44461,Business Owner,Single,Post-Graduate,Owned,Medical,1
